,Name,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
28,Castro,0,CL,1567709944,50,-42.48,-73.76,283.15,4.6
29,Punta Arenas,0,CL,1567709884,80,-53.16,-70.91,278.15,3.6
30,Kenai,75,US,1567709827,71,60.55,-151.26,286.48,2.1
31,Joshimath,97,IN,1567709979,94,30.57,79.57,286.951,0.49
32,Carnarvon,0,ZA,1567709979,54,-30.97,22.13,284.651,11.06
33,Bambous Virieux,40,MU,1567709829,73,-20.34,57.76,295.15,2.1
34,Dakar,40,SN,1567709979,83,14.69,-17.45,302.15,4.6
35,Hobart,7,AU,1567709828,93,-42.88,147.33,280.37,3.1
36,Butaritari,96,KI,1567709980,70,3.07,172.79,302.351,4.33
37,Jamestown,53,AU,1567709952,87,-33.21,138.6,278.983,6.62
38,Kodlipet,94,IN,1567709980,99,12.8,75.88,294.051,1.46
39,Banda Aceh,100,ID,1567709840,83,5.56,95.32,301.283,7.24
40,Rikitea,75,PF,1567709980,82,-23.12,-134.97,293.451,6.62
41,Bredasdorp,63,ZA,1567709980,67,-34.53,20.04,287.15,5.7
42,Saint-Philippe,20,CA,1567709940,43,45.36,-73.48,294.82,6.7
43,East London,20,ZA,1567709981,58,-33.02,27.91,288.15,4.6
44,Egvekinot,93,RU,1567709981,91,66.32,-179.17,277.151,0.73
45,Coacoyul,78,MX,1567709981,50,17.81,-99.11,303.71,1.34
46,Mendeleyevo,75,RU,1567709981,93,56.04,37.23,290.37,2
47,Puerto Ayacucho,40,CO,1567709981,78,5.66,-67.63,300.15,4.6
48,Busselton,0,AU,1567709981,61,-33.64,115.35,278.15,3.17
49,Ponta do Sol,0,BR,1567709915,28,-20.63,-46,304.383,2.99
50,Rila,0,BG,1567709982,56,42.13,23.13,295.37,2.6
51,Hovd,75,NO,1567709982,76,63.83,10.7,284.82,11.3
52,Los Llanos de Aridane,40,ES,1567709864,69,28.66,-17.92,297.15,5.7
53,Narsaq,75,GL,1567709982,50,60.91,-46.05,284.15,1
54,Novokizhinginsk,85,RU,1567709982,97,51.61,109.59,284.951,2.1
55,Srednekolymsk,99,RU,1567709982,70,67.46,153.71,277.851,3.95
56,New Norfolk,7,AU,1567709817,93,-42.78,147.06,280.37,3.1
57,Chumikan,20,RU,1567709983,84,54.72,135.31,282.751,3.95
58,Alegre,98,BR,1567709983,76,-20.76,-41.53,295.851,3.19
59,Atuona,18,PF,1567709900,73,-9.8,-139.03,299.083,4.71
60,Norman Wells,90,CA,1567709983,100,65.28,-126.83,283.15,1
61,Ponta Delgada,75,PT,1567709983,77,37.73,-25.67,294.82,4.6
62,Cape Town,0,ZA,1567709722,67,-33.93,18.42,289.82,4.1
63,Buarcos,0,PT,1567709983,42,40.16,-8.88,302.59,5.7
64,Nemuro,100,JP,1567709984,89,43.32,145.57,290.551,5.55
65,Mataura,100,NZ,1567709984,92,-46.19,168.86,280.93,3.08
66,Khandyga,14,RU,1567709984,85,62.65,135.58,276.351,2.17
67,Tabasalu,20,EE,1567709984,93,59.43,24.54,289.82,4.6
68,Coihaique,90,CL,1567709984,89,-45.58,-72.07,280.15,3.6
69,Tura,2,RU,1567709984,84,64.27,100.22,273.651,0.46
70,Pevek,95,RU,1567709984,75,69.7,170.27,279.251,1.77
71,Albany,1,US,1567709704,60,42.65,-73.75,295.93,1.5
72,Paita,0,PE,1567709985,290,-5.09,-81.11,290.15,5.1
73,Mbandaka,19,CD,1567709985,62,0.05,18.26,298.551,1.04
74,Warrington,0,GB,1567709985,77,53.39,-2.59,289.15,5.1
75,Nikolskoye,0,RU,1567709985,72,59.7,30.79,288.15,3
76,Qaanaaq,21,GL,1567709902,55,77.48,-69.36,273.583,3.41
77,Teguise,75,ES,1567709985,78,29.06,-13.56,297.15,2.6
78,Hilo,75,US,1567709907,66,19.71,-155.08,302.15,1.5
79,San Jeronimo,90,PE,1567709986,328,-13.65,-73.37,276.15,3.1
80,Sheopur,75,IN,1567709986,77,25.67,76.7,301.851,2.07
81,Thompson,90,CA,1567709937,57,55.74,-97.86,283.15,1.5
82,Voskresenskoye,100,RU,1567709986,89,56.84,45.43,286.251,1.86
83,Ilulissat,40,GL,1567709986,61,69.22,-51.1,281.15,2.6
84,Touros,20,BR,1567709896,65,-5.2,-35.46,301.15,6.7
85,Lebork,0,PL,1567709963,55,54.54,17.75,291.48,2.6
86,Saskylakh,100,RU,1567709986,82,71.97,114.09,277.251,7.03
87,Kodiak,1,US,1567709987,58,39.95,-94.76,305.93,5.1
88,Priiskovyy,62,RU,1567709987,87,51.93,116.63,285.151,1.43
89,Paamiut,100,GL,1567709987,69,61.99,-49.67,279.651,1.49
90,Sangar,3,RU,1567709962,82,63.92,127.47,276.083,1.23
91,Luderitz,0,NA,1567709987,38,-26.65,15.16,297.15,6.7
92,Fortuna,90,US,1567709895,88,40.6,-124.16,298.71,1.5
93,Umm Lajj,0,SA,1567709883,65,25.02,37.27,303.183,5.29
94,Hailar,0,CN,1567709987,88,49.2,119.7,286.851,0.36
95,Torbay,75,CA,1567709987,73,47.66,-52.73,297.15,6.7
96,Ereymentau,100,KZ,1567709988,83,51.62,73.1,285.351,1.88
97,Hamilton,20,CA,1567709941,60,43.26,-79.87,295.93,1.5
98,Komsomolskiy,59,RU,1567709991,79,67.55,63.78,284.851,4.45
99,Tiksi,99,RU,1567709907,90,71.64,128.87,276.883,1.21
100,Maldonado,90,UY,1567709992,57,-34.91,-54.96,284.15,6.2
101,Progreso,75,UY,1567709992,57,-34.68,-56.22,283.15,6.2
102,Sidi Ali,0,DZ,1567709992,79,36.1,0.42,297.851,10.83
103,Ustron,0,PL,1567709992,68,49.72,18.8,294.26,3.6
104,Tuatapere,84,NZ,1567709992,92,-46.13,167.69,280.93,5.08
105,Cayenne,0,GF,1567709993,66,4.94,-52.33,304.15,6.7
106,Fene,75,ES,1567709993,68,43.47,-8.16,292.59,5.1
107,Uthal,45,PK,1567709993,79,25.81,66.62,302.151,5.25
108,Sola,79,TZ,1567709993,53,-3.17,33.8,296.551,2.17
109,Seryshevo,94,RU,1567709993,94,51.09,128.38,288.851,1.36
110,Avarua,100,CK,1567709817,73,-21.21,-159.78,296.15,8.2
111,Bayevo,99,RU,1567709993,58,53.27,80.77,286.251,5.85
112,Cao Bang,23,VN,1567709993,88,22.67,106.25,294.851,0.57
113,Cabo San Lucas,20,MX,1567709851,55,22.89,-109.91,306.48,5.1
114,Neryungri,82,RU,1567709994,86,56.66,124.71,279.551,2.49
115,Dikson,100,RU,1567709994,99,73.51,80.55,279.051,0.92
116,Qufu,0,CN,1567709994,73,35.6,116.99,292.151,1.65
117,Dharchula,80,IN,1567709994,96,29.85,80.53,286.951,0.2
118,Yerazgavors,40,AM,1567709994,59,40.7,43.78,289.15,9.8
119,Benicarlo,13,ES,1567709995,39,40.42,0.43,293.71,3.13
120,Airai,49,TL,1567709924,85,-8.93,125.41,292.183,1.95
121,Bitung,20,ID,1567709858,88,1.44,125.19,296.15,1.5
122,Cheney,1,US,1567709917,33,47.49,-117.58,302.04,3.1
123,Tateyama,47,JP,1567709995,71,36.66,137.31,300.37,0.89
124,Sooke,1,CA,1567709995,77,48.37,-123.73,298.15,2.1
125,Nha Trang,40,VN,1567709773,62,12.24,109.19,303.15,1.5
126,Cantaura,89,VE,1567709995,71,9.31,-64.36,303.751,1.78
127,Ketchikan,90,US,1567709995,93,55.34,-131.65,286.15,1.5
128,Batemans Bay,83,AU,1567709996,96,-35.71,150.18,285.37,0.45
129,Portland,20,US,1567709996,55,43.66,-70.25,297.04,3.6
130,Geraldton,90,CA,1567709996,100,49.72,-86.95,282.15,2.6
131,Poum,40,MK,1567709996,55,41.28,20.71,292.15,1
132,Kudeyevskiy,75,RU,1567709996,100,54.87,56.75,285.15,4
133,Georgetown,20,GY,1567709855,55,6.8,-58.16,307.15,6.2
134,Maceio,40,BR,1567709711,65,-9.67,-35.74,300.15,5.1
135,Sinazongwe,0,ZM,1567709997,24,-17.26,27.46,294.151,2.05
136,Bandarbeyla,56,SO,1567709986,76,9.49,50.81,297.651,11.62
137,Sinnamary,23,GF,1567709997,77,5.38,-52.96,301.251,8.49
138,Victoria,75,BN,1567709997,94,5.28,115.24,301.15,2.74
139,Barrow,100,AR,1567709929,45,-38.31,-60.23,282.683,4.01
140,Hithadhoo,87,MV,1567709865,79,-0.6,73.08,301.483,6.01
141,Port Hardy,75,CA,1567709997,93,50.7,-127.42,285.15,2.1
142,Esperance,75,AU,1567709998,80,-33.86,121.89,278.15,3.6
143,Buala,47,SB,1567709998,84,-8.15,159.59,298.051,6.97
144,Hermanus,0,ZA,1567709998,81,-34.42,19.24,289.26,6.26
145,Harper,1,US,1567709998,28,30.3,-99.24,307.59,3.1
146,Tual,86,ID,1567709998,84,-5.67,132.75,297.851,7.08
147,Oistins,20,BB,1567709802,70,13.07,-59.53,304.15,3.6
148,Jilavele,0,RO,1567709998,72,44.76,26.53,293.71,1
149,Aklavik,90,CA,1567709999,100,68.22,-135.01,283.15,1.5
150,Panacan,90,PH,1567709999,88,7.15,125.66,299.15,1.4
151,Kiama,57,AU,1567709742,100,-34.67,150.86,289.26,2.6
152,Saint George,20,GR,1567709999,60,39.45,22.34,298.71,4.6
153,Wajir,0,KE,1567709999,43,1.75,40.07,304.15,4.6
154,Labuhan,47,ID,1567709999,87,-2.54,115.51,295.351,0.67
155,Padang,20,ID,1567709885,85,-0.92,100.36,300.483,8.24
156,Cuamba,0,MZ,1567709999,31,-14.8,36.54,297.151,4.87
157,Provideniya,35,RU,1567709813,96,64.42,-173.23,278.983,0.89
158,Gizo,20,IL,1567710000,69,31.8,34.94,300.37,2.1
159,Imeni Poliny Osipenko,42,RU,1567710000,94,52.42,136.49,284.851,0.49
160,Vannes,0,FR,1567710000,54,47.66,-2.76,289.15,4.6
161,Muros,20,ES,1567709853,67,42.77,-9.06,295.93,7.2
162,Sovetskaya Gavan,93,RU,1567710000,84,48.97,140.29,290.251,1.4
163,Tezu,1,IN,1567710000,75,27.93,96.16,296.851,1.04
164,Asyut,0,EG,1567709707,41,27.18,31.19,306.15,3.1
165,Berdigestyakh,45,RU,1567710001,99,62.1,126.7,279.451,1.04
166,Poronaysk,32,RU,1567710001,94,49.22,143.1,288.351,1.06
167,Marion,1,US,1567710002,55,35.21,-90.2,305.93,5.7
168,Livingston,75,US,1567710002,46,40.8,-74.31,297.15,3.1
169,Rio Grande,40,BR,1567709818,58,-32.03,-52.1,288.15,6.2
170,Hazorasp,0,UZ,1567710005,66,41.32,61.08,286.15,3.1
171,Kidal,20,ML,1567710006,18,18.44,1.41,312.351,4.51
172,Khatanga,100,RU,1567709913,95,71.98,102.47,283.083,5.37
173,Sobolevo,0,RU,1567710011,72,54.43,31.9,285.551,0.87
174,Kaeo,58,NZ,1567710014,85,-35.1,173.78,283.71,8.94
175,Basco,1,US,1567710019,61,40.33,-91.2,298.71,3.1
176,Nabire,49,ID,1567710020,96,-3.36,135.5,293.151,1.98
177,Botou,0,CN,1567710022,67,38.08,116.55,292.751,2.52
178,Victoria,75,BN,1567709915,94,5.28,115.24,301.15,2.59
179,Nsanje,0,MZ,1567710023,26,-16.92,35.26,296.251,2.9
180,Huescar,36,ES,1567710024,84,37.81,-2.54,294.82,4.98
181,Vanavara,44,RU,1567710024,91,60.35,102.28,275.251,2.43
182,Bafoulabe,29,ML,1567710024,64,13.81,-10.83,305.251,0.69
183,Yellowknife,90,CA,1567709914,93,62.45,-114.38,282.15,1
184,Conil,0,FR,1567710025,66,44.97,3.72,284.15,5.1
185,Cherskiy,0,RU,1567710025,75,68.75,161.3,276.651,3.12
186,Saldanha,0,PT,1567710025,27,41.42,-6.55,296.851,5.86
187,El Penol,75,CO,1567710025,41,1.46,-77.45,297.15,9.8
188,Tuktoyaktuk,20,CA,1567710025,87,69.44,-133.03,281.15,1.5
189,Kieta,67,PG,1567710025,79,-6.22,155.63,297.951,4.18
190,Laguna,40,BZ,1567710026,66,16.17,-88.94,305.15,3.1
191,Leningradskiy,99,RU,1567709927,92,69.38,178.42,277.483,1.43
192,Lagoa,0,PT,1567709973,83,37.14,-8.45,298.15,2.1
193,Campina Verde,23,BR,1567709939,12,-19.54,-49.49,311.783,0.98
194,Arraial do Cabo,75,BR,1567710026,93,-22.97,-42.02,292.15,5.1
195,Nanortalik,100,GL,1567710026,73,60.14,-45.24,278.851,1
196,Seoul,75,KR,1567709702,106,37.57,126.98,296.15,1.5
197,Daru,23,PG,1567710026,83,-9.07,143.21,294.251,2.27
198,San Francisco,75,CO,1567709463,41,1.17,-76.88,297.15,9.8
199,Port Alfred,96,ZA,1567710027,64,-33.59,26.89,288.71,2.24
200,San Ramon,40,NI,1567710027,51,12.92,-85.84,300.15,4
201,Gambela,94,ET,1567710027,94,8.25,34.59,293.751,1
202,Rawson,100,AR,1567710027,52,-43.3,-65.11,280.051,8.03
203,Voineasa,20,RO,1567710027,82,45.42,23.96,289.26,2.1
204,Filadelfia,98,PY,1567710025,26,-22.35,-60.04,301.251,3.28
205,Port Elizabeth,75,US,1567710028,64,39.31,-74.98,299.82,3.1
206,Skegness,0,GB,1567710028,67,53.14,0.34,289.15,4.6
207,Flagstaff,1,US,1567709851,19,35.2,-111.65,307.04,2.6
208,Bata,20,GQ,1567710028,78,1.87,9.77,301.15,3.1
209,Suhbaatar,100,MN,1567710028,88,50.23,106.21,284.851,3.16
210,Saint-Augustin,75,CA,1567709921,49,45.63,-73.98,294.26,3.6
211,Hermosillo,40,MX,1567709199,56,29.09,-110.96,308.15,2.6
212,Havoysund,75,NO,1567710028,87,71,24.66,282.15,4.6
213,Nushki,0,PK,1567710029,10,29.55,66.02,299.251,1.51
214,Orotukan,96,RU,1567710029,85,62.26,151.67,280.251,0.97
215,Clyde River,75,CA,1567709915,81,70.47,-68.59,279.15,3.6
216,Atar,20,MR,1567710029,23,20.52,-13.05,313.15,4.1
217,Acapulco,20,MX,1567710029,62,16.86,-99.88,304.15,2.6
218,Mar del Plata,90,AR,1567710029,51,-46.43,-67.52,278.551,7.33
219,Jaysingpur,100,IN,1567710030,91,16.78,74.56,295.151,4.56
220,Tessalit,56,ML,1567710030,13,20.2,1.01,314.051,1.14
221,Do Gonbadan,0,IR,1567710030,9,30.36,50.8,307.15,3.1
222,Beringovskiy,99,RU,1567710030,95,63.05,179.32,278.851,0.62
223,Lerwick,40,GB,1567710030,93,60.15,-1.15,284.15,4.6
224,Biltine,2,TD,1567710030,32,14.53,20.93,307.751,2.18
225,Port Moresby,9,PG,1567710031,73,-9.47,147.16,296.251,8.05
226,Grand Gaube,40,MU,1567710031,73,-20.01,57.66,295.15,2.1
227,San Jose,90,HN,1567709919,40,14.25,-87.96,304.15,3.1
228,Tasiilaq,75,GL,1567710031,61,65.61,-37.64,282.15,3.1
229,Zhigansk,21,RU,1567710031,95,66.77,123.37,276.951,3.76
230,Orotina,90,CR,1567710031,57,9.91,-84.53,298.15,6.7
231,Sorland,75,NO,1567710032,93,67.67,12.69,281.15,3.6
232,Partizanske,0,SK,1567710032,72,48.63,18.38,291.15,1
233,Dwarka,75,IN,1567710032,74,28.58,77.04,305.93,3.1
234,Kavieng,85,PG,1567710032,78,-2.57,150.8,300.351,4.44
235,Yuyao,40,CN,1567710032,94,30.04,121.15,301.48,3
236,Dingle,100,PH,1567710033,85,11,122.67,296.951,2.07
237,Sept-Iles,40,CA,1567710033,36,50.2,-66.38,290.15,6.7
238,Huarmey,76,PE,1567710033,90,-10.07,-78.15,288.951,5.31
239,Monrovia,75,LR,1567710033,94,6.33,-10.8,299.15,1.5
240,Lavrentiya,92,RU,1567710033,95,65.58,-170.99,279.551,2.52
241,Saint Anthony,1,US,1567710033,28,43.97,-111.68,302.04,2.1
242,Faanui,71,PF,1567710034,82,-16.48,-151.75,297.751,10.73
243,Namibe,99,AO,1567710034,88,-15.19,12.15,291.351,4.52
244,Evanston,1,US,1567710001,49,42.04,-87.69,296.48,3.1
245,Nome,40,US,1567709839,39,30.04,-94.42,310.37,0.85
246,Vanimo,99,PG,1567710034,71,-2.67,141.3,299.151,2.14
247,Siocon,92,PH,1567710034,82,11.03,124.04,299.151,2.85
248,Vicosa,94,BR,1567710034,76,-20.75,-42.88,295.551,3.71
249,Vagur,100,FO,1567710035,85,61.47,-6.81,283.351,7.65
250,Santa Maria,0,BR,1567710007,13,-16.02,-48.01,306.15,7.2
251,Myanaung,93,MM,1567710035,94,18.28,95.32,296.751,0.67
252,Mount Isa,0,AU,1567710035,47,-20.73,139.49,286.15,6.26
253,Riyadh,0,SA,1567709895,16,24.63,46.72,310.15,2.6
254,Sitka,0,US,1567710035,27,37.17,-99.65,309.26,4.02
255,Malanje,78,AO,1567710035,35,-9.54,16.35,301.451,2.24
256,Balbalan,100,PH,1567710036,97,17.44,121.2,290.651,1.15
257,Elizabeth City,90,US,1567709869,74,36.3,-76.22,302.15,7.2
258,Kytmanovo,18,RU,1567710036,70,53.46,85.45,282.451,2.3
259,Honda,40,JP,1567710036,78,35.71,139.48,300.37,0.5
260,Brae,75,GB,1567710036,93,60.4,-1.35,284.15,4.6
261,Havelock,90,US,1567709825,78,34.88,-76.9,301.48,7.2
262,Broome,20,GB,1567710036,55,52.47,1.45,289.15,3.1
263,Lebu,95,ET,1567710037,81,8.96,38.73,288.051,1.43
264,Neuquen,40,AR,1567709956,36,-38.95,-68.06,282.15,4.1
265,Ostrovnoy,83,RU,1567710037,80,68.05,39.51,285.851,9.17
266,Omboue,94,GA,1567710037,85,-1.57,9.26,297.151,6.29
267,Channel-Port aux Basques,54,CA,1567709954,73,47.57,-59.14,287.383,9.54
268,Iracoubo,23,GF,1567710037,56,5.48,-53.21,305.051,4.28
269,Teguldet,81,RU,1567710037,94,57.31,88.17,280.451,1.61
270,Pampa,1,US,1567710038,22,35.54,-100.96,308.15,4.6
271,Tilichiki,50,RU,1567709920,83,60.47,166.1,277.683,0.61
272,Cooma,60,AU,1567710038,100,-36.24,149.13,276.15,3.6
273,Bemidji,90,US,1567710038,88,47.48,-94.89,294.15,2.1
274,Nanakuli,1,US,1567710038,58,21.39,-158.15,304.15,4.6
275,Kushiro,97,JP,1567710038,95,43.11,144.15,288.051,1.02
276,Garissa,44,KE,1567710039,60,-0.46,39.64,299.351,8.71
277,Sedan,20,FR,1567710039,76,49.7,4.94,286.48,2.1
278,Talnakh,75,RU,1567710039,93,69.49,88.39,283.15,5
279,Kaitangata,100,NZ,1567710039,77,-46.28,169.85,280.93,3.13
280,Fukue,75,JP,1567710039,88,35.03,136.69,298.71,0.5
281,Praia da Vitoria,75,PT,1567710039,78,38.73,-27.07,295.15,8.87
282,Constitucion,75,MX,1567709948,52,23.99,-104.67,293.15,1
283,Pout,40,SN,1567710040,83,14.77,-17.06,302.15,4.6
284,Cleethorpes,20,GB,1567710040,63,53.56,-0.03,289.15,5.7
285,Diamantino,0,BR,1567709851,11,-14.4,-56.44,313.883,3.93
286,Sao Filipe,40,CV,1567710040,84,14.9,-24.5,299.451,7.08
287,Dillon,20,US,1567710040,22,45.22,-112.64,300.37,2.1
288,Upernavik,39,GL,1567710040,81,72.79,-56.15,278.151,1.39
289,Ushtobe,77,KZ,1567710040,62,45.25,77.98,290.851,8.12
290,Yekaterinoslavka,100,RU,1567710041,71,54.34,72.46,284.751,6.9
291,Chala,40,TZ,1567710041,49,-7.6,31.27,294.15,1.37
292,Verkhoyansk,94,RU,1567710041,91,67.55,133.39,276.951,1.06
293,Aksu,90,KZ,1567709846,51,52.04,76.93,289.15,9
294,Rio Gallegos,0,AR,1567710041,40,-51.62,-69.22,284.15,2.6
295,Palembang,56,ID,1567710041,93,-2.99,104.76,296.251,1.46
296,Chapais,40,CA,1567710042,53,49.78,-74.86,284.15,5.7
297,Mazagao,20,BR,1567710042,52,-0.12,-51.29,306.15,5.7
298,Graaff-Reinet,64,ZA,1567709854,75,-32.25,24.53,283.483,8.85
299,Beloha,0,MG,1567710042,85,-25.17,45.06,292.951,3.72
300,Porto Novo,75,BR,1567710042,77,-23.68,-45.44,289.15,6.2
301,Piltene,20,LV,1567710042,82,57.23,21.67,289.15,4.1
302,Ixtapa,5,MX,1567709907,66,20.71,-105.21,304.82,2.1
303,Pringsewu,99,ID,1567710043,90,-5.36,104.98,294.051,1.08
304,Vila Velha,0,BR,1567710043,66,-3.71,-38.6,302.15,5.1
305,Hay River,75,CA,1567710043,81,60.82,-115.79,285.15,6.7
306,High Rock,17,BS,1567710043,77,26.63,-78.28,302.351,7.72
307,Hasaki,40,JP,1567710043,100,35.73,140.83,296.15,1
308,Madera,1,US,1567710043,33,36.96,-120.06,306.15,3.95
309,Clearwater,40,US,1567710043,74,27.97,-82.8,308.15,5.7
310,Flinders,74,AU,1567710044,100,-34.58,150.85,289.26,2.6
311,Pisco,75,PE,1567710044,30,-13.71,-76.2,295.15,3.1
312,Bouza,2,NE,1567710044,35,14.42,6.04,307.351,3.81
313,Necochea,100,AR,1567710044,66,-38.55,-58.74,284.26,1.79
314,Caravelas,18,BR,1567710044,66,-17.73,-39.27,297.951,3.51
315,Alofi,30,NU,1567709908,100,-19.06,-169.92,295.15,3.1
316,Vila Franca do Campo,75,PT,1567709908,77,37.72,-25.43,294.82,4.6
317,Strezhevoy,20,RU,1567710045,100,60.73,77.6,281.15,1.14
318,Rubtsovsk,92,RU,1567710045,38,51.53,81.22,288.951,5.45
319,Vazhiny,100,RU,1567710045,89,60.96,34.04,286.851,2.78
320,Isangel,20,VU,1567710045,82,-19.55,169.27,290.15,7.32
321,Souillac,0,FR,1567709918,42,45.6,-0.6,292.15,4.1
322,Meadville,40,US,1567710045,60,41.64,-80.15,296.48,5.1
323,Leeton,42,AU,1567710045,66,-34.55,146.4,286.48,1.5
324,Chuy,72,UY,1567710045,64,-33.69,-53.46,283.251,4.23
325,Leh,0,IN,1567710046,27,34.16,77.58,282.851,2.78
326,Diu,100,IN,1567710046,96,20.71,70.98,298.651,3.52
327,Eureka,90,US,1567709854,77,40.8,-124.16,295.93,4.6
328,Rivadavia,71,AR,1567710046,22,-31.53,-68.59,285.351,1.83
329,Tautira,75,PF,1567710046,69,-17.73,-149.15,299.15,2.1
330,Svetlogorsk,90,RU,1567710046,100,53.14,59.15,283.15,1
331,Sao Joao da Barra,90,BR,1567709830,94,-21.64,-41.05,295.15,8.2
332,Ginda,50,IN,1567710047,98,30.69,78.49,289.551,0.49
333,Bend,1,US,1567710047,30,44.06,-121.32,302.04,2.1
334,Matagami,76,NG,1567710047,89,9.67,8.4,294.551,0.58
335,Moose Factory,75,CA,1567709988,47,51.26,-80.61,286.15,1.5
336,Ziniare,20,BF,1567710047,66,12.58,-1.3,303.15,2.6
337,Baykalovo,40,RU,1567710047,93,64.58,40.26,285.15,4
338,Nara,83,JP,1567710047,88,34.68,135.8,299.82,0.5
339,Dhidhdhoo,87,MV,1567710048,80,6.88,73.1,301.351,4.8
340,Whitehorse,20,CA,1567710048,66,60.72,-135.06,285.37,2.1
341,Camacha,75,PT,1567710048,73,33.08,-16.33,296.15,7.2
342,Molina,40,CL,1567710048,48,-35.11,-71.28,290.15,3.1
343,Mahebourg,40,MU,1567709877,73,-20.41,57.7,295.15,2.1
344,Pokrovsk,42,RU,1567710048,97,61.48,129.14,279.751,0.75
345,Ust-Nera,100,RU,1567710048,93,64.57,143.24,274.351,1.95
346,Taywarah,0,AF,1567710049,25,33.35,64.42,286.451,3.55
347,Avera,40,US,1567710049,46,33.19,-82.53,308.15,4.6
348,Port Lincoln,76,AU,1567709874,73,-34.72,135.86,286.083,16.79
349,Alvaraes,90,BR,1567710049,94,-3.22,-64.8,299.15,2.1
350,Nizwa,24,OM,1567710049,23,22.93,57.53,306.251,2.33
351,Port-de-Bouc,0,FR,1567710049,32,43.4,4.98,294.26,14.4
352,Izacic,0,BA,1567710049,90,44.88,15.78,289.82,1.11
353,Montrose,40,GB,1567710050,76,56.71,-2.47,288.15,7.7
354,Teluk Intan,75,MY,1567710050,94,4.02,101.03,299.15,0.7
355,Umm Kaddadah,94,SD,1567710050,51,13.6,26.69,302.451,7.12
356,Pucallpa,75,PE,1567710050,331,-8.38,-74.54,275.15,2.6
357,Loncoche,75,CL,1567710050,71,-39.37,-72.63,284.15,4.6
358,Peniche,0,PT,1567710050,32,39.36,-9.38,304.26,4.1
359,Aswan,0,EG,1567710051,20,24.09,32.9,308.15,1
360,Englewood,20,US,1567709890,15,39.65,-104.99,309.26,4.6
361,Mandalgovi,99,MN,1567710051,51,45.76,106.27,291.751,3.04
362,Longyearbyen,75,NO,1567710051,80,78.22,15.63,274.15,4.1
363,Bambanglipuro,91,ID,1567710032,83,-7.95,110.28,297.051,4.26
364,Malente,0,DE,1567709975,71,54.17,10.56,287.04,4.1
365,Quatre Cocos,40,MU,1567710051,73,-20.21,57.76,295.15,2.1
366,Saint-Leu,20,RE,1567710051,68,-21.15,55.28,296.15,1.5
367,Hobyo,13,SO,1567710052,81,5.35,48.53,298.351,12.19
368,Selcuk,0,TR,1567710052,65,37.95,27.37,300.15,2.6
369,Biak,97,ID,1567709993,98,-0.91,122.88,290.451,1.43
370,Masuguru,55,MZ,1567710052,35,-11.38,38.46,300.051,1.54
371,Koungheul,62,SN,1567710052,72,13.98,-14.8,303.651,5.07
372,Sisimiut,100,GL,1567710052,82,66.94,-53.67,278.451,0.07
373,Ciudad Bolivar,47,VE,1567710052,49,8.12,-63.55,307.551,4.25
374,Porto-Vecchio,0,FR,1567710053,64,41.59,9.28,298.15,6.7
375,Strelka,83,RU,1567710053,96,58.08,93.03,280.551,1.86
376,Naujamiestis,0,LT,1567710053,64,55.69,24.15,293.15,3.1
